attempt_id,test_id,total_time_seconds,score_correct,score_total,n_items,rapid_share,n_mc_items,median_mc_item_time,mc_revision_share,score,pace_seconds_per_item,label
01c19be2-6f9c-4402-85ab-2bf33f31a1a3,math_grade3_practice_2023,511,14,17,17,0.0,17,16.0,0.0,0.8235294117647058,30.058823529411764,clean
01dc5a96-b0bf-4cbb-ad83-a4fc77d87ca8,science_grade5_2015,506,33,36,36,0.05555555555555555,34,7.5,0.0,0.9166666666666666,14.055555555555555,clean
01eb43df-5893-4ded-82a0-33ed67ea95ee,math_algebra1_2014,8470,31,50,50,0.04,43,83.0,0.06976744186046512,0.62,169.4,clean
01f1439d-103f-49ad-9053-d19af9f97da4,math_algebra1_2015,144,8,44,44,0.9545454545454546,40,2.0,0.0,0.18181818181818182,3.272727272727273,rushed_guess
01f34eef-98d6-455a-8668-a593ca8efb29,math_grade4_2014,939,49,50,50,0.0,45,11.0,0.08888888888888889,0.98,18.78,clean
01fbdaf2-58e3-4f3c-9c12-765c6d30ce12,math_grade4_practice_2023,150,18,18,18,0.0,18,4.5,0.05555555555555555,1.0,8.333333333333334,clean
01ff4054-277d-44a1-b46e-143e3aba9b08,math_grade3_practice_2023,80,17,17,17,0.0,17,3.0,0.0,1.0,4.705882352941177,clean
02002048-3f28-4d0b-9a85-672c3b2a4348,science_biology_2015,2133,33,46,46,0.15217391304347827,40,13.5,0.1,0.717391304347826,46.369565217391305,clean
02018822-dded-4837-95ce-f7d580c81d85,math_algebra2_practice_2023,75,5,22,22,0.6818181818181818,22,2.0,0.0,0.22727272727272727,3.409090909090909,rushed_guess
02041476-50d6-4dff-81d0-f3c1430e7697,reading_endofcourse_practice_2024,1643,19,23,23,0.0,23,50.0,0.0,0.8260869565217391,71.43478260869566,clean
0206c7c4-a16f-4928-b1fb-c91190d765a0,math_grade6_2014,1901,33,50,50,0.0,43,18.0,0.13953488372093023,0.66,38.02,clean
020b0a7d-ae66-4e4d-a2f1-2614b01f0d7e,math_algebra1_2015,256,14,44,44,0.8409090909090909,40,3.0,0.0,0.3181818181818182,5.818181818181818,rushed_guess
020d9ec9-9322-4373-8a70-4a31fb5862c1,science_biology_2015,1457,40,46,46,0.06521739130434782,40,13.0,0.025,0.8695652173913043,31.67391304347826,clean
020fe668-c76c-495c-9cbc-66d2cce9b214,reading_grade7_practice_2024,1987,18,36,36,0.027777777777777776,36,25.5,0.25,0.5,55.19444444444444,clean
02151f62-b7d5-4a0c-a609-86c202935341,math_grade8_practice_2023,1440,17,28,28,0.0,28,17.5,0.07142857142857142,0.6071428571428571,51.42857142857143,clean
02156c8b-a7bb-45f5-8d12-aaaea90764b8,reading_endofcourse_practice_2024,169,27,29,29,0.5862068965517241,29,4.0,0.10344827586206896,0.9310344827586207,5.827586206896552,replay
02157c30-7e85-4704-b06a-fdd79a1c4aab,reading_grade5_2015,1356,7,40,40,0.425,39,2.0,0.0,0.175,33.9,clean
0216578d-9362-4fea-8538-a410a11c5a48,math_grade4_practice_2023,1530,14,18,18,0.0,18,55.0,0.05555555555555555,0.7777777777777778,85.0,clean
0224d674-d85a-4a4a-ae8a-076ab3eeba7b,math_grade3_practice_2023,217,17,17,17,0.0,17,4.0,0.0,1.0,12.764705882352942,clean
022e60e4-b058-4feb-911f-77abefbbe39d,science_biology_2015,4366,44,46,46,0.021739130434782608,40,42.5,0.0,0.9565217391304348,94.91304347826087,clean
023bd6af-8e58-467f-a428-560f5535b449,reading_grade5_2015,82834,40,40,40,0.0,39,84.0,0.8974358974358975,1.0,2070.85,clean
023c1050-f765-4898-a4b5-5059bd7a4822,math_geometry_practice_2023,2336,12,23,23,0.0,23,47.0,0.0,0.5217391304347826,101.56521739130434,clean
023e49ca-41ef-4504-9c31-5be055f15f12,math_grade3_practice_2023,1421,9,17,17,0.0,17,50.0,0.058823529411764705,0.5294117647058824,83.58823529411765,clean
024957ec-64d5-4401-af0b-ea51a8f96405,science_grade8_2015,4145,31,48,48,0.0,43,66.0,0.13953488372093023,0.6458333333333334,86.35416666666667,clean
02656c7f-c95d-4691-acd9-966380469efd,math_grade4_practice_2023,122,17,18,18,0.0,18,4.0,0.0,0.9444444444444444,6.777777777777778,clean
026e2813-eddb-4144-9b85-f94131586dbb,math_grade5_practice_2023,137,23,24,24,0.125,24,4.0,0.125,0.9583333333333334,5.708333333333333,clean
0288cb6c-a09e-4757-8b42-8c0a15ffdff2,math_grade4_practice_2023,82,16,18,18,0.0,18,3.0,0.05555555555555555,0.8888888888888888,4.555555555555555,clean
029019b4-ef76-444d-aee9-5864aaf60932,reading_grade5_practice_2024,2387,22,38,38,0.0,38,27.0,0.05263157894736842,0.5789473684210527,62.81578947368421,clean
02944d8e-297e-40e6-9e45-bf701a35ab84,science_grade5_2015,214,35,36,36,0.16666666666666666,34,3.0,0.0,0.9722222222222222,5.944444444444445,clean
0298eec9-8bfe-42bd-b014-e93817ede082,math_grade6_2014,85405,35,50,50,0.0,43,37.0,0.16279069767441862,0.7,1708.1,clean
02afdb67-ebbb-46e1-b86c-cc2287c6f952,math_grade4_practice_2023,83,18,18,18,0.0,18,3.0,0.05555555555555555,1.0,4.611111111111111,clean
02c7ab09-bd7a-4a55-a88e-42d0d6c640e4,reading_grade5_2015,185,40,40,40,0.7,39,3.0,0.02564102564102564,1.0,4.625,replay
02ccd3b0-5226-4313-9eab-1ac56c579881,math_grade6_practice_2023,5451,21,23,23,0.0,23,4.0,0.17391304347826086,0.9130434782608695,237.0,clean
02d3391a-3915-4006-983d-d70a76a9a1d0,math_grade3_practice_2023,63,17,17,17,0.0,17,3.0,0.0,1.0,3.7058823529411766,clean
02d3c579-5aef-476c-ba33-15d26c2513c5,math_grade4_practice_2023,75,17,18,18,0.1111111111111111,18,2.5,0.0,0.9444444444444444,4.166666666666667,clean
02d6a8ab-0b58-4efd-8057-4723b01e34c4,reading_grade5_practice_2024,352,26,38,38,0.05263157894736842,38,7.0,0.10526315789473684,0.6842105263157895,9.263157894736842,clean
02e2c45c-be7c-46d8-b2b9-2b823fb675b4,math_grade3_practice_2023,200,12,17,17,0.0,17,7.0,0.0,0.7058823529411765,11.764705882352942,clean
02f05348-5116-43f1-be16-ce1e4fd976bc,math_grade5_practice_2023,143,24,24,24,0.041666666666666664,24,3.5,0.041666666666666664,1.0,5.958333333333333,clean
02f6182e-0aa9-4205-8e04-f482b07bef4d,reading_endofcourse_practice_2024,226,29,29,29,0.7241379310344828,29,3.0,0.0,1.0,7.793103448275862,replay
02fd6c39-9674-4305-babf-49705409df21,math_grade5_practice_2023,88,23,24,24,0.3333333333333333,24,2.0,0.041666666666666664,0.9583333333333334,3.6666666666666665,replay
02ff88ea-0832-4d6f-b29e-abe348704361,science_grade5_2015,746,27,36,36,0.0,34,15.0,0.029411764705882353,0.75,20.72222222222222,clean
0306d4cd-0585-4586-8d66-94377cfb2eed,math_grade3_practice_2023,59,17,17,17,0.0,17,3.0,0.0,1.0,3.4705882352941178,replay
0306ed6f-d7fc-4236-a4ac-5f70e28bb7bc,math_grade4_practice_2023,593,18,18,18,0.0,18,7.5,0.0,1.0,32.94444444444444,clean
03112c79-6a3e-416a-b5f4-e001a49cb462,math_grade6_practice_2023,58,19,23,23,0.6086956521739131,23,1.0,0.0,0.8260869565217391,2.5217391304347827,clean
03122bc8-8b2c-4334-bdbe-b1bf821448a7,reading_grade3_2015,1997,19,40,40,0.125,38,13.0,0.23684210526315788,0.475,49.925,clean
